state,state_abbr,oppose_expansion,gop_governor,percent_favorable_aca,percent_favorable_aca_original_scale,percent_supporting_expansion,percent_supporting_tea_party,obama_share,obama_win,ideology,gop_house,gop_sen,gop_leg,percent_uninsured,percent_uninsured_original_scale,dsh,percent_nonwhite,bal2012,percent_poverty,percent_poverty138,percent_metro,multiplier,low_birthweight,infant_mortality_rate,cancer_incidence,heart_disease_death_rate,life_expectancy,fem_leg_orginal_scale,fem_gov,shor_hou_orginial_scale,shor_sen_orginial_scale,fem_leg,shor_hou,shor_sen
Alabama,AL,1,0.4,-0.353847092,38.27111089,0.51076943,0.261595948,-0.495292604,-0.52,0.568367417,0.42,0.4,0.46,-0.043853751,14,0.49477078,0.119902567,-0.192312167,0.404657392,0.446915507,-0.011917015,0.61380237,0.653109951,1.048951338,0.203752917,1.013507753,-0.984744604,0.14,0,0.796,1.008,-1.456374419,0.915346814,1.226266779
Alaska,AK,1,0.4,-0.401333156,37.44284937,-0.254956252,0.284345504,-0.308963508,-0.52,0.032902084,0.42,0.4,0.46,0.565226123,19,-0.089743161,0.119902567,3.238509236,0.141892852,0.240963661,-0.107219405,-0.494603331,-0.331123623,-0.078394414,-0.166722917,-0.410620974,-0.109281897,0.27,0,0.634,0.621,0.407096786,0.696033974,0.665977235
Arizona,AZ,0,0.4,-0.273521798,39.67216092,0.173789403,0.170551915,-0.179906214,-0.52,0.189700098,0.42,0.4,0.46,0.443410148,18,-0.291484364,0.530095558,-0.103217193,0.536039662,0.549891431,0.305217062,0.568375907,-0.192912178,-0.12014796,-1.27470413,-0.491518227,0.283166903,0.36,1,0.746,0.597,1.697192236,0.847657666,0.631230597
Arkansas,AR,0,-0.6,-0.474745211,36.16238147,0.264574547,0.578725021,-0.540104814,-0.52,0.52129216,0.42,0.4,0.46,0.443410148,18,-0.304877037,-0.132523889,-0.205609925,0.667421932,0.858819201,-0.243147194,0.804593515,0.327108198,0.380894596,-0.592339339,0.785984228,-0.803614388,0.17,0,0.678,0.848,-1.026342602,0.755600424,0.994622523
California,CA,0,-0.6,0.668318169,56.09992408,0.177424941,-0.538831304,0.607560068,0.48,-0.576082972,-0.58,-0.6,-0.54,0.565226123,19,-0.073977991,0.971841856,-0.230875664,0.536039662,0.549891431,0.682172044,-0.494603331,-0.278938912,-0.662944063,-0.46654987,-0.235343592,0.645427334,0.27,0,-1.146,-1.41,0.407096786,-1.713699704,-2.274457037
Colorado,CO,0,-0.6,0.032001787,45.00116506,0.551405759,0.026206804,0.171711951,0.48,-0.056894362,-0.58,-0.6,-0.54,0.077962224,15,-0.252745567,-0.006310661,-0.047366612,-0.252253958,-0.376891879,0.404298642,-0.45826216,0.251978196,-0.203655053,-0.535475606,-0.725783189,0.40392038,0.41,0,-1.196,-0.518,2.413911931,-1.781388852,-0.983040311
Connecticut,CT,0,-0.6,0.446097966,52.22391436,-0.166071684,-0.626310653,0.459476776,0.48,-0.734508324,-0.58,-0.6,-0.54,-0.774749599,8,0.363537376,-0.037863968,-0.205609925,-0.515018498,-0.582843726,0.612811548,-0.494603331,-0.461283852,-0.245408599,0.827530831,-0.339835877,0.645427334,0.28,0,-1.006,-1.034,0.550440725,-1.524170089,-1.730093036
Delaware,DE,0,-0.6,0.459845623,52.46370377,0.642190068,-0.200613365,0.491688549,0.48,-0.393241096,-0.58,-0.6,-0.54,-0.53111765,10,-0.382260911,0.183009181,0.003164866,0.010510582,0.035011814,0.146038759,-0.349238649,0.220752191,NA,0.71552651,-0.002763989,-0.079093527,0.26,0,-0.751,-0.475,0.263752848,-1.178955433,-0.920785917
Florida,FL,0,0.4,0.147913296,47.02291705,0.299681498,-0.008798126,0.06157709,0.48,-0.147716775,0.42,0.4,0.46,0.808858072,21,-0.374423732,0.40388233,-0.091249211,0.273275122,0.343939584,0.622732535,-0.058509285,-0.135964123,0.172126865,-0.371776982,-0.228602154,0.222790165,0.26,0,0.573,0.37,0.263752848,0.613453213,0.302585309
Georgia,GA,1,0.4,0.090511253,46.021699,0.419174629,0.191331869,-0.148537319,-0.52,0.273511219,0.42,0.4,0.46,0.565226123,19,-0.102053365,0.466988944,-0.161727325,0.404657392,0.343939584,0.35220042,0.432096517,0.711660794,0.464401689,0.005591425,0.282061756,-0.441353958,0.23,0,0.809,0.855,-0.166278969,0.932945993,1.00475696
Hawaii,HI,0,-0.6,1.004602092,61.96545626,0.645933177,-0.801019806,1.077141562,0.48,-0.606201833,-0.58,-0.6,-0.54,-0.774749599,8,-0.428992727,1.66601461,-0.133802035,0.667421932,0.755843277,-0.110114103,-0.412835697,0.296314028,-0.245408599,-0.133983192,-0.69376136,0.79636918,0.32,0,-0.76,-0.77,1.123816481,-1.19113948,-1.347880013
Idaho,ID,1,0.4,-0.925554595,28.29927302,-0.665378128,0.956941667,-0.743918048,-0.52,0.810114791,0.42,0.4,0.46,0.199778199,16,-0.375275215,-0.353397039,-0.141780689,0.010510582,0.240963661,-0.292762097,0.904531734,-0.088563783,-0.287162145,-0.151214626,-0.279162938,0.252978534,0.27,0,0.876,0.834,0.407096786,1.023649451,0.974353651
Illinois,IL,0,-0.6,0.608226757,55.05179752,0.333985411,-0.606318715,0.450159977,0.48,-0.443321347,-0.58,-0.6,-0.54,-0.043853751,14,-0.271171059,0.246115795,-0.204280149,0.010510582,0.035011814,0.416594939,-0.467347453,0.103114516,0.130373318,0.314034095,0.098357577,0.102036688,0.31,0,-0.217,-0.429,0.980472542,-0.45603533,-0.854188193
Indiana,IN,1,0.4,-0.129427745,42.18547853,-0.703256722,0.070383204,-0.20794412,-0.52,0.292407612,0.42,0.4,0.46,-0.165669726,13,-0.010850048,-0.353397039,0.005824418,0.141892852,0.035011814,-0.036227973,0.404840639,0.022960385,0.297387504,-0.295958672,0.26857888,-0.320600481,0.2,0,0.851,0.814,-0.596310786,0.989804877,0.945398119
Iowa,IA,0,0.4,0.054908367,45.40070626,-0.676568257,-0.201520916,0.181806874,0.48,0.159491611,0.42,-0.6,-0.54,-0.53111765,10,-0.334443554,-0.479610267,0.080291859,-0.646400768,-0.479867803,-0.413562358,-0.267471015,-0.360848453,-0.57943697,0.556997316,-0.043212616,0.313355272,0.23,0,0.411,-0.79,-0.166278969,0.394140372,-1.376835545
Kansas,KS,0,0.4,-0.284437669,39.48176409,-0.275172779,0.07525542,-0.490377479,-0.52,0.231044735,0.42,0.4,0.46,-0.165669726,13,-0.310306608,-0.22718381,-0.096568314,-0.120871688,-0.170940033,-0.234874832,-0.212959259,-0.056785692,0.33914105,0.05900887,-0.184782809,0.01147158,0.25,0,0.625,0.781,0.120408909,0.683849927,0.897621491
Kentucky,KY,0,-0.6,-0.620754021,33.61566628,0.01390806,0.86794596,-0.51089004,-0.52,0.432455689,-0.58,0.4,-0.54,0.077962224,15,-0.004258735,-0.44805696,-0.176354858,0.404657392,0.446915507,-0.529622948,0.713740589,0.331310774,0.046866226,0.820638258,0.576999658,-0.803614388,0.18,0,0,0,-0.882998663,-0.162264426,-0.233092032
Louisiana,LA,1,0.4,-0.108022126,42.55883966,0.456801366,0.238418031,-0.377341073,-0.52,0.421491735,0.42,0.4,0.46,0.687042097,20,1.979475591,0.277669102,-0.115185174,0.930186472,0.755843277,0.200138995,0.086855397,1.10257893,0.965444245,0.56388989,0.90227403,-0.894179496,0.13,0,0.525,0.437,-1.599718358,0.54847163,0.399586341
Maine,ME,0,0.4,0.159896226,47.23192573,0.210351722,-0.447130679,0.415883572,0.48,-0.357046292,-0.58,-0.6,-0.54,-0.53111765,10,0.742518875,-0.76359003,-0.168376204,-0.383636228,-0.273915956,-0.605030489,0.068684812,-1.034440908,-0.328915692,0.56905932,-0.417362412,0.162413426,0.3,0,-0.798,-0.711,0.837128603,-1.242583232,-1.262461194
Maryland,MD,0,-0.6,0.798575706,58.37190237,1.021595151,-0.576342372,0.676767769,0.48,-0.702751922,-0.58,-0.6,-0.54,-0.165669726,13,-0.332045616,0.561648865,-0.096568314,-0.515018498,-0.582843726,0.631096584,-0.494603331,0.201287826,0.422648143,-0.404516707,0.106784374,0.04165995,0.3,0,-0.921,-0.831,0.837128603,-1.409098537,-1.436194386
Massachusetts,MA,0,-0.6,0.501320366,53.18711463,0.359601079,-0.650465709,0.603398262,0.48,-1.028512599,-0.58,-0.6,-0.54,-1.262013498,4,0.203849867,-0.132523889,-0.124493605,-0.383636228,-0.479867803,0.665978499,-0.494603331,-0.438300396,-0.704697609,0.262339793,-0.435901365,0.554862226,0.25,0,0,0,0.120408909,-0.162264426,-0.233092032
Michigan,MI,0,0.4,0.370747866,50.90964267,-0.214005455,-0.322557175,0.26975122,0.48,-0.144778613,0.42,0.4,0.46,-0.2874857,12,-0.106595529,-0.195630503,0.011143521,0.010510582,-0.067964109,0.324341648,0.323073006,-0.122551533,0.422648143,0.174459479,0.477563451,-0.139470266,0.19,0,0.541,0.641,-0.739654725,0.570132158,0.694932767
Minnesota,MN,0,-0.6,0.30702257,49.79813319,-1.011726244,-0.287853473,0.228706314,0.48,-0.147455685,-0.58,-0.6,-0.54,-0.652933625,9,-0.31695692,-0.384950346,-0.061994145,-0.777783038,-0.788795573,0.015218073,-0.494603331,-0.506567507,-0.537683424,0.255447219,-0.951621354,0.735992441,0.34,0,-0.663,0,1.410504359,-1.059822532,-0.233092032
Mississippi,MS,1,0.4,0.135351281,46.80380785,0.967400129,0.039235429,-0.236676065,-0.52,0.521270044,0.42,0.4,0.46,0.199778199,16,0.288444172,0.40388233,-0.164386877,1.061568742,0.961795124,-0.824156374,1.131664049,1.532197752,1.382979709,0.252000932,1.267997028,-1.10549808,0.17,0,0.561,0.789,-1.026342602,0.597207817,0.909203704
Missouri,MO,0,-0.6,-0.139133787,42.01618379,-0.843144555,-0.026169399,-0.187801162,-0.52,0.28125138,0.42,0.4,0.46,-0.043853751,14,0.737225182,-0.321843732,-0.128482932,0.010510582,-0.067964109,0.155643495,0.177708324,0.058590251,0.213880411,0.003868281,0.437114824,-0.35078885,0.22,0,1.162,1.086,-0.309622908,1.410831379,1.339193354
Montana,MT,0,-0.6,-0.531216691,35.17739449,-0.200600833,0.557736418,-0.295538687,-0.52,0.434295708,0.42,0.4,0.46,0.443410148,18,-0.359137028,-0.574270188,0.133482889,-0.120871688,-0.067964109,-1.125536157,0.350328884,-0.314966661,-0.036640867,0.026269145,-0.365116269,-0.048905158,0.27,0,0.789,0.777,0.407096786,0.905870333,0.891830385
Nebraska,NE,1,0.4,-0.45409547,36.52255842,-0.72762305,0.251648429,-0.49114476,-0.52,0.53506636,0.42,0.4,0.46,-0.165669726,13,-0.294731396,-0.258737117,0.152099749,-0.646400768,-0.685819649,-0.29729847,-0.367409234,-0.075042251,-0.328915692,-0.290789242,-0.365116269,0.343543642,0.2,0,0,0.536,-0.596310786,-0.162264426,0.542916225
Nevada,NV,0,0.4,0.083686514,45.90266053,0.28055253,0.053251746,0.203214775,0.48,0.103744705,-0.58,-0.6,-0.54,1.052490022,23,-0.27011272,0.624755479,-0.043377285,0.273275122,0.240963661,0.454474081,0.241305372,0.136747984,-0.370669238,-0.025425157,0.361273649,-0.169658635,0.27,0,-0.608,-0.463,0.407096786,-0.985364469,-0.903412598
New Hampshire,NH,0,-0.6,-0.031917282,43.88627574,-0.306631302,-0.216434861,0.175807569,0.48,-0.194138805,-0.58,0.4,-0.54,-0.2874857,12,1.429610701,-0.700483416,-0.180344186,-1.040547578,-1.097723343,-0.314068614,-0.494603331,-0.895964166,-0.788204702,0.367451541,-0.390396661,0.494485488,0.32,1,-0.538,0.338,1.123816481,-0.890599661,0.256256458
New Jersey,NJ,0,0.4,0.500091674,53.16568354,-0.128626462,-0.799807149,0.469711598,0.48,-0.551154682,-0.58,-0.6,-0.54,0.077962224,15,0.638785538,0.372329023,-0.185663288,-0.383636228,-0.376891879,0.728127688,-0.494603331,-0.06693809,-0.57943697,0.477732719,0.103413655,0.494485488,0.3,0,-0.897,-0.856,0.837128603,-1.376607746,-1.472388801
New Mexico,NM,0,0.4,0.481769526,52.84610492,0.152879366,-0.321652026,0.293379353,0.48,-0.309487121,-0.58,-0.6,-0.54,0.808858072,21,-0.383961608,0.908735242,-0.03539863,1.061568742,0.858819201,-0.003666193,0.677399418,0.362318787,-0.412422784,-0.868042285,-0.415677052,-0.079093527,0.29,1,-0.6,-0.524,0.693784664,-0.974534205,-0.99172697
New York,NY,0,-0.6,0.897980919,60.10574821,0.469180254,-0.857773473,0.72353796,0.48,-1.089384079,-0.58,0.4,-0.54,-0.2874857,12,0.792648036,0.435435637,-0.163057101,0.404657392,0.446915507,0.498975966,-0.494603331,0.009495065,-0.495929877,0.565613033,0.405092995,0.554862226,0.21,0,-1.077,-0.754,-0.452966847,-1.62028868,-1.324715588
North Carolina,NC,1,0.4,0.044782275,45.22408493,-0.1303933,0.099265323,-0.008938058,-0.52,0.044245537,0.42,0.4,0.46,0.321594173,17,-0.050664918,0.246115795,-0.152418895,0.273275122,0.240963661,-0.191610831,0.350328884,0.300031099,0.631415875,0.327819242,-0.016246865,-0.260223743,0.22,0,0.762,0.864,-0.309622908,0.869318193,1.017786949
North Dakota,ND,0,0.4,-0.439963828,36.76904538,-0.682850067,0.310281615,-0.442830486,-0.52,0.395190485,0.42,0.4,0.46,-0.53111765,10,-0.32073153,-0.416503653,0.799700533,-0.777783038,-0.891771496,-0.677423169,-0.494603331,-0.387899018,-0.036640867,0.021099715,-0.30107261,0.252978534,0.17,0,0.63,0.727,-1.026342602,0.690618842,0.819441555
Ohio,OH,0,0.4,0.068047867,45.62988808,0.373088032,-0.159038192,0.112797953,0.48,0.091793716,0.42,0.4,0.46,-0.165669726,13,0.029731298,-0.321843732,-0.145770016,0.010510582,0.035011814,0.074795259,0.123196568,0.025377892,0.422648143,-0.223586649,0.278691037,-0.260223743,0.24,0,0.819,0.82,-0.02293503,0.946483822,0.954084779
Oklahoma,OK,1,0.4,-0.773131063,30.95787509,-0.212275009,0.790576111,-0.760680429,-0.52,0.774446352,0.42,0.4,0.46,0.321594173,17,-0.388427576,0.183009181,-0.048696388,0.141892852,0.137987737,-0.186856878,0.09594069,0.374661411,0.464401689,0.090025452,1.000024877,-0.833802757,0.13,1,1.167,1.091,-1.599718358,1.417600294,1.346432237
Oregon,OR,0,-0.6,0.065374528,45.58325917,0.471778604,0.015483548,0.339996404,0.48,-0.239530865,-0.58,-0.6,-0.54,0.077962224,15,-0.35399722,-0.22718381,-0.193641943,0.010510582,0.035011814,0.089017002,0.214049494,-0.724510491,-0.621190516,-0.206355215,-0.639829858,0.252978534,0.3,0,-0.699,-0.52,0.837128603,-1.108558719,-0.985935864
Pennsylvania,PA,0,0.4,0.078915314,45.81944029,-0.470462822,-0.387825966,0.170944212,0.48,-0.081868439,0.42,0.4,0.46,-0.409301675,11,0.172634556,-0.290290425,-0.173695307,-0.120871688,-0.170940033,0.223458211,-0.42192099,-0.215746138,0.255633957,0.624199909,0.187681627,-0.048905158,0.18,0,0.376,0.303,-0.882998663,0.346757969,0.205584277
Rhode Island,RI,0,-0.6,0.530602381,53.69785746,0.218874833,-0.676154828,0.70996555,0.48,-0.746766389,-0.58,-0.6,-0.54,-0.2874857,12,0.464140985,-0.164077196,-0.091249211,-0.120871688,-0.067964109,0.728127688,-0.494603331,-0.506666771,-0.12014796,0.625923052,-0.147704901,0.373732011,0.27,0,-0.5,-0.502,0.407096786,-0.839155909,-0.959875885
South Carolina,SC,1,0.4,0.002525052,44.48702591,0.354625813,0.043954659,-0.213097035,-0.52,0.202289758,0.42,0.4,0.46,0.321594173,17,0.585259108,0.151455874,0.024441278,0.536039662,0.549891431,-0.157846129,0.78642293,0.514564957,0.506155235,-0.557876471,0.236557051,-0.501730696,0.13,1,0.776,0.505,-1.599718358,0.888271155,0.49803515
South Dakota,SD,1,0.4,-0.385613392,37.71703667,-0.631140419,0.272686887,-0.399870654,-0.52,0.57759055,0.42,0.4,0.46,-0.043853751,14,-0.327235366,-0.416503653,-0.004813788,-0.383636228,-0.376891879,-0.646672026,-0.431006282,-0.135637772,0.172126865,-0.788777688,-0.348262675,0.252978534,0.23,0,0.623,0.649,-0.166278969,0.681142361,0.70651498
Tennessee,TN,0,0.4,-0.434661863,36.86152333,-0.262255668,0.581616348,-0.453968204,-0.52,0.500134408,0.42,0.4,0.46,-0.043853751,14,-0.239386785,-0.132523889,-0.071302575,0.404657392,0.343939584,0.054374631,0.286731835,0.231132765,0.631415875,0.2864638,0.700030897,-0.713049281,0.17,0,0.858,0.94,-1.026342602,0.999281358,1.12781797
Texas,TX,1,0.4,-0.091862367,42.84070146,-0.13487513,0.285710697,-0.342046008,-0.52,0.299668551,0.42,0.4,0.46,1.174305996,24,0.054213043,0.908735242,-0.024760424,0.536039662,0.549891431,0.419981348,-0.149362211,0.572327975,-0.203655053,-0.454487866,0.08824542,-0.048905158,0.22,0,1.042,0.828,-0.309622908,1.248377423,0.965666991
Utah,UT,0,0.4,-1.123328664,24.84965771,-0.979568111,0.923303736,-1.135822087,-0.52,0.70151296,0.42,0.4,0.46,0.077962224,15,-0.431091109,-0.321843732,-0.11651495,-0.515018498,-0.376891879,0.135249586,0.777337637,0.657093645,-0.704697609,-1.205778393,-0.550505807,0.464297118,0.16,0,0.748,0.853,-1.169686541,0.850365232,1.001861406
Vermont,VT,0,-0.6,0.622699629,55.30423628,0.088212975,-0.715263507,0.912036853,0.48,-1.158687132,-0.58,-0.6,-0.54,-0.774749599,8,0.041953273,-0.732036723,-0.144440241,-0.646400768,-0.582843726,-1.170965413,-0.340153356,-1.039987148,-0.57943697,0.339881246,-0.375228426,0.554862226,0.41,0,-0.812,-0.748,2.413911931,-1.261536194,-1.316028928
Virginia,VA,1,0.4,0.150836594,47.0739058,0.666233036,0.013361779,0.134424977,0.48,-0.064103613,0.42,-0.6,-0.54,-0.165669726,13,-0.368744385,0.183009181,-0.12582338,-0.383636228,-0.479867803,0.355063909,-0.494603331,0.028648112,0.255633957,-0.454487866,-0.124109869,0.102036688,0.17,0,0.608,-0.354,-1.026342602,0.660835617,-0.745604948
Washington,WA,0,-0.6,0.296428414,49.61334777,0.362890384,-0.20049044,0.404820047,0.48,-0.466166261,-0.58,-0.6,-0.54,-0.043853751,14,-0.106425227,-0.006310661,-0.226886336,-0.383636228,-0.273915956,0.534087374,-0.494603331,-0.578862631,-0.662944063,0.386406118,-0.410620974,0.373732011,0.33,0,-0.858,-0.011,1.26716042,-1.32381021,-0.249017575
West Virginia,WV,0,-0.6,-0.85635493,29.50626758,-0.11512338,0.891107858,-0.612702774,-0.52,0.257385406,-0.58,-0.6,-0.54,0.077962224,15,0.049083312,-0.700483416,0.263800911,0.273275122,0.343939584,-0.434198314,0.859105271,-0.018907682,0.380894596,0.169290049,0.595538612,-0.984744604,0.16,0,-0.012,-0.188,-1.169686541,-0.178509822,-0.505274033
Wisconsin,WI,1,0.4,0.260764865,48.99129694,-0.158503132,-0.236389979,0.208413549,0.48,0.007778737,0.42,0.4,0.46,-0.53111765,10,-0.274269998,-0.384950346,-0.172365531,-0.383636228,-0.479867803,0.024040466,-0.131191626,-0.45437007,-0.12014796,NA,-0.18141209,0.40392038,0.26,0,0.713,0.656,0.263752848,0.802982828,0.716649416
Wyoming,WY,1,0.4,-1.036922127,26.356778,-0.535693437,1.013840187,-0.970289153,-0.52,0.579355401,0.42,0.4,0.46,0.321594173,17,-0.536502693,-0.479610267,0.438001532,-0.646400768,-0.582843726,-1.239479474,-0.494603331,0.398416363,0.046866226,-0.423471285,-0.102200196,-0.109281897,0.16,0,0.353,0.37,-1.169686541,0.31562096,0.302585309